# The Computer Science Ontology as a term taxonomy: the topics computer science research is
# indexed by, each with the label CSO states for it and the equivalent labels it states beside
# it. CSO states NO definition for any topic, so this is matched against declared names like
# OLiA and FIBO and cannot be read as a functional taxonomy — there is no prose to compare a
# scope against.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# definition is empty for every row because CSO publishes none.
#
# CSO is a POLY-HIERARCHY: 4747 of its 11426 topics with a parent are stated beneath more
# than one, up to 13. Every parent is carried, joined with the separator SkosConcept states
# for a repeated property, and SkosConcept.broaderConcepts reads them back. Nothing is dropped.
#
# Name: Computer Science Ontology 3.5
# Publisher: the Knowledge Media Institute, The Open University (https://cso.kmi.open.ac.uk/)
# Kind: terms
# Source: CSO 3.5, https://cso.kmi.open.ac.uk/download (CSO.3.5.csv) (the download states
#   no revision, so the archive is the citation, pinned by the SHA-256 ContentDigest states
#   over CSO.3.5.csv: 1fa427ecb26a92d6077a54b5da41833e3eea6a194567091e336e8425f4cc11d4).
# Licence: Creative Commons Attribution 4.0 International (CC BY 4.0) — "you can freely copy,
#   share, adapt, and build upon the data for any purpose, including commercial use, as long as
#   you give appropriate credit to the original creators". Credit: the Computer Science
#   Ontology, Knowledge Media Institute, The Open University, and NOTICE.md carries it.
#   The downloaded archive itself states no licence and carries no licence file; these terms
#   were supplied by the maintainer of this repository rather than read from the archive.
# Generated by CsoTopicsExtraction: 11438 topics.
aal	aal		ambient assisted living	topic			
abas	abas		architecture evaluation	topic			
abc_algorithms	abc algorithms		artificial bee colony algorithms	topic			
absolute_stability	absolute stability		stability criteria	topic			
absorbing_boundary_condition	absorbing boundary condition	absorbing boundary condition | absorbing boundary conditions	numerical methods	topic			
abstract_argumentation	abstract argumentation		argumentation frameworks	topic			
abstract_domains	abstract domains		abstract interpretation	topic			
abstract_interpretation	abstract interpretation	abstract interpretation | abstract interpretations	static analysis	topic			
abstract_state_machines	abstract state machines		contour followers | formal methods | model checking	topic			
abstract_syntax	abstract syntax		linguistics | syntactics	topic			
abstracting_and_indexing	abstracting and indexing		natural language processing	topic			
ac_coefficients	ac coefficients	ac coefficients | dc coefficient	dct coefficients | digital watermarking | h.264/avc	topic			
academic_achievement	academic achievement		education	topic			
academic_libraries	academic libraries		digital libraries | libraries	topic			
acceleration_data	acceleration data		triaxial accelerometer	topic			
acceleration_measurement	acceleration measurement		accelerometers	topic			
acceleration_sensors	acceleration sensors	acceleration sensor | acceleration sensors	accelerometers	topic			
acceleration_signals	acceleration signals		accelerometers | signal processing	topic			
accelerometer_data	accelerometer data		accelerometers | activity recognition	topic			
accelerometer_sensor	accelerometer sensor		accelerometers	topic			
accelerometers	accelerometers	accelerometer | accelerometers	sensors	topic			
access_category	access category		edca	topic			
access_control	access control		computer security	topic			
access_control_decisions	access control decisions		access control policies	topic			
