# The IANA media type registry: every registered type, carried byte for byte as the registry
# states it. A string literal equal to a row's identifier is the publisher's own identifier
# written into a repository, which is a citation no English word can make; nothing here is an
# English label, so this is never matched against a declared name and never placed as prose.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# concept and prefLabel are the registered template, byte for byte. broader and module name the
# registry the type is filed under. definition is empty for every row because the registry
# publishes none. note carries the registry's reference, and its own deprecation statement where
# it makes one — a deprecated identifier is still the registry's identifier, so the row stays.
#
# Source: IANA media types, https://www.iana.org/assignments/media-types/ (application.csv, audio.csv, font.csv, haptics.csv, image.csv, message.csv, model.csv, multipart.csv, text.csv, video.csv), retrieved 2026-08-19
#   (the registry states no revision, so the file set is the citation, pinned by the SHA-256
#   ContentDigest states over the ten CSVs: fd3eea02e8610628e4a3b6eb0b66a415fdbf973ce1e73e667be24b12cd505aeb).
# Licence: CC0 1.0 (https://www.iana.org/help/licensing-terms — "IANA and IETF intend that
#   the Protocol Registries may be freely used by any party for any purpose", with both
#   organisations' rights "subject to the Creative Commons CC0 1.0 dedication").
# Generated by MediaTypeExtraction: 2344 media types.
application/ace-groupcomm+cbor	application/ace-groupcomm+cbor		application	media-type	application		[RFC9594]
application/ace-trl+cbor	application/ace-trl+cbor		application	media-type	application		[RFC9770]
application/activemessage	application/activemessage		application	media-type	application		[Ehud_Shapiro]
application/activity+json	application/activity+json		application	media-type	application		[W3C][Benjamin_Goering]
application/aif+cbor	application/aif+cbor		application	media-type	application		[RFC9237]
application/aif+json	application/aif+json		application	media-type	application		[RFC9237]
application/alto-cdni+json	application/alto-cdni+json		application	media-type	application		[RFC9241]
application/alto-cdnifilter+json	application/alto-cdnifilter+json		application	media-type	application		[RFC9241]
application/alto-costmap+json	application/alto-costmap+json		application	media-type	application		[RFC7285]
application/alto-costmapfilter+json	application/alto-costmapfilter+json		application	media-type	application		[RFC7285]
application/alto-directory+json	application/alto-directory+json		application	media-type	application		[RFC7285]
application/alto-endpointcost+json	application/alto-endpointcost+json		application	media-type	application		[RFC7285]
application/alto-endpointcostparams+json	application/alto-endpointcostparams+json		application	media-type	application		[RFC7285]
application/alto-endpointprop+json	application/alto-endpointprop+json		application	media-type	application		[RFC7285]
application/alto-endpointpropparams+json	application/alto-endpointpropparams+json		application	media-type	application		[RFC7285]
application/alto-error+json	application/alto-error+json		application	media-type	application		[RFC7285]
application/alto-networkmap+json	application/alto-networkmap+json		application	media-type	application		[RFC7285]
application/alto-networkmapfilter+json	application/alto-networkmapfilter+json		application	media-type	application		[RFC7285]
application/alto-propmap+json	application/alto-propmap+json		application	media-type	application		[RFC9240]
application/alto-propmapparams+json	application/alto-propmapparams+json		application	media-type	application		[RFC9240]
application/alto-tips+json	application/alto-tips+json		application	media-type	application		[RFC9569]
application/alto-tipsparams+json	application/alto-tipsparams+json		application	media-type	application		[RFC9569]
application/alto-updatestreamcontrol+json	application/alto-updatestreamcontrol+json		application	media-type	application		[RFC8895]
application/alto-updatestreamparams+json	application/alto-updatestreamparams+json		application	media-type	application		[RFC8895]
application/andrew-inset	application/andrew-inset		application	media-type	application		[Nathaniel_Borenstein]
application/applefile	application/applefile		application	media-type	application		[Patrik_Faltstrom]
application/asyncapi+json	application/asyncapi+json		application	media-type	application		[Linux_Foundation][AsyncAPI_Initiative]
application/asyncapi+yaml	application/asyncapi+yaml		application	media-type	application		[Linux_Foundation][AsyncAPI_Initiative]
application/at+jwt	application/at+jwt		application	media-type	application		[RFC9068]
application/atom+xml	application/atom+xml		application	media-type	application		[RFC4287][RFC5023]
application/atomcat+xml	application/atomcat+xml		application	media-type	application		[RFC5023]
application/atomdeleted+xml	application/atomdeleted+xml		application	media-type	application		[RFC6721]
application/atomicmail	application/atomicmail		application	media-type	application		[Nathaniel_Borenstein]
application/atomsvc+xml	application/atomsvc+xml		application	media-type	application		[RFC5023]
application/atsc-dwd+xml	application/atsc-dwd+xml		application	media-type	application		[ATSC]
application/atsc-dynamic-event-message	application/atsc-dynamic-event-message		application	media-type	application		[ATSC]
application/atsc-held+xml	application/atsc-held+xml		application	media-type	application		[ATSC]
application/atsc-rdt+json	application/atsc-rdt+json		application	media-type	application		[ATSC]
application/atsc-rsat+xml	application/atsc-rsat+xml		application	media-type	application		[ATSC]
application/auth-policy+xml	application/auth-policy+xml		application	media-type	application		[RFC4745]
application/automationml-aml+xml	application/automationml-aml+xml		application	media-type	application		[AutomationML_e.V.]
application/automationml-amlx+zip	application/automationml-amlx+zip		application	media-type	application		[AutomationML_e.V.]
application/bacnet-xdd+zip	application/bacnet-xdd+zip		application	media-type	application		[ASHRAE][Dave_Robin]
application/batch-SMTP	application/batch-SMTP		application	media-type	application		[RFC2442]
application/beep+xml	application/beep+xml		application	media-type	application		[RFC3080]
application/bufr	application/bufr		application	media-type	application		[World_Meterological_Organization][Anna_Milan]
application/c2pa	application/c2pa		application	media-type	application		[C2PA][Leonard_Rosenthol]
application/calendar+json	application/calendar+json		application	media-type	application		[RFC7265]
application/calendar+xml	application/calendar+xml		application	media-type	application		[RFC6321]
application/call-completion	application/call-completion		application	media-type	application		[RFC6910]
application/captive+json	application/captive+json		application	media-type	application		[RFC8908]
application/cbor	application/cbor		application	media-type	application		[RFC8949]
application/cbor-seq	application/cbor-seq		application	media-type	application		[RFC8742]
application/cccex	application/cccex		application	media-type	application		[_3GPP]
application/ccmp+xml	application/ccmp+xml		application	media-type	application		[RFC6503]
application/ccxml+xml	application/ccxml+xml		application	media-type	application		[RFC4267]
application/cda+xml	application/cda+xml		application	media-type	application		[HL7][Marc_Duteau]
application/cdmi-capability	application/cdmi-capability		application	media-type	application		[RFC6208]
application/cdmi-container	application/cdmi-container		application	media-type	application		[RFC6208]
application/cdmi-domain	application/cdmi-domain		application	media-type	application		[RFC6208]
application/cdmi-object	application/cdmi-object		application	media-type	application		[RFC6208]
application/cdmi-queue	application/cdmi-queue		application	media-type	application		[RFC6208]
application/cdni	application/cdni		application	media-type	application		[RFC7736]
application/ce+cbor	application/ce+cbor		application	media-type	application		[TCG DICE][TCG_DICE_WG][Ned_M._Smith]
application/cea-2018+xml	application/cea-2018+xml		application	media-type	application		[Gottfried_Zimmermann]
application/cellml+xml	application/cellml+xml		application	media-type	application		[RFC4708]
application/cfw	application/cfw		application	media-type	application		[RFC6230]
application/cid	application/cid		application	media-type	application		[W3C_Verifiable_Credentials_WG][Michael_B_Jones]
application/cid-edhoc+cbor-seq	application/cid-edhoc+cbor-seq		application	media-type	application		[RFC9528]
application/city+json	application/city+json		application	media-type	application		[OGC][Scott_Simmons]
application/city+json-seq	application/city+json-seq		application	media-type	application		[OGC][Scott_Simmons]
application/client-authentication+jwt	application/client-authentication+jwt		application	media-type	application		[RFC-ietf-oauth-rfc7523bis-11]
