# The NIST Cybersecurity Framework 2.0 as a functional taxonomy: six functions, the
# categories under each of them and the subcategories under those, with the outcome NIST
# states each one as. This is not a vocabulary to match against identifiers — nobody writes
# GV.OC-01, and nobody writes Organizational Context either. It is a published partition of
# what a security function does, and the sentence defining each part is what a body of code
# can be compared against as a distribution rather than searched for as a term.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# broader is empty for a function, the framework's own top level; module is the function a
# concept rolls up to; altLabel is the label NIST publishes beside a title wherever it
# publishes a different one, and empty where it publishes none. Concepts NIST states as
# withdrawn are not carried, which is what leaves 1.1's categories out.
#
# Source: NIST_CSF_v2.0_catalog.json at version 1.2.0, the OSCAL edition
#   NIST publishes of the Cybersecurity Framework 2.0, read from
#   https://raw.githubusercontent.com/usnistgov/oscal-content/78650f02ad9321bb7b817846f8fbd4f2bcd620de/nist.gov/CSF/v2.0/json/NIST_CSF_v2.0_catalog.json.
# Licence: public domain. The catalogue is a work of the United States government, and NIST
#   additionally waives copyright and related rights worldwide through CC0 1.0
#   (https://github.com/usnistgov/oscal-content/blob/main/LICENSE.md). The framework's own
#   words are quoted as NIST publishes them, and NIST states no endorsement of any use.
# Generated by NistCsfExtraction: 134 concepts.
GV.RM-06	GV.RM-06		GV.RM	subcategory	GV	A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated	
GV.RM-07	GV.RM-07		GV.RM	subcategory	GV	Strategic opportunities (i.e., positive risks) are characterized and are included in organizational cybersecurity risk discussions	
GV.RR	Roles, Responsibilities, and Authorities	Roles, Responsibilities, and Authorities (GV.RR)	GV	category	GV	Cybersecurity roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement are established and communicated	
GV.RR-01	GV.RR-01		GV.RR	subcategory	GV	Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving	
GV.RR-02	GV.RR-02		GV.RR	subcategory	GV	Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced	
GV.RR-03	GV.RR-03		GV.RR	subcategory	GV	Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies	
GV.RR-04	GV.RR-04		GV.RR	subcategory	GV	Cybersecurity is included in human resources practices	
GV.SC	Cybersecurity Supply Chain Risk Management	Cybersecurity Supply Chain Risk Management (GV.SC)	GV	category	GV	Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders	
GV.SC-01	GV.SC-01		GV.SC	subcategory	GV	A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders	
GV.SC-02	GV.SC-02		GV.SC	subcategory	GV	Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally	
