# Name tokens from the Wikidata entity registry: every given-name and family-name item
# borne by at least five subjects, written as each of the registry's labels for it, with
# the token's dominant Unicode script and the item's bearer count as prominence. A row
# says the registry records people bearing the token as a name part — 王 is a family name
# written in Han script; Alexander, Александр and 亚历山大 are one given name written
# three ways. Whether a sampled value is made of such tokens is the caller's question,
# answered by votes this file does not cast.
#
# Name: Wikidata given and family names
# Publisher: Wikidata
# Kind: words
# Source: Wikidata, items referenced as a person's given name (P735) or family name
#   (P734) by at least five subjects, under every rdfs:label in every language; the
#   script is the majority Unicode script of the token's letters. Queried via the
#   QLever SPARQL endpoint (https://qlever.dev/api/wikidata).
# Licence: CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/).
# Regenerate: ./gradlew :lexicon-extraction:extractWikidataNames
#
# token	script	kind	bearers
Aasmund	LATIN	given	17
Aasmundsen	LATIN	family	5
Aasmäe	LATIN	family	11
Aaspõllu	LATIN	family	5
Aass	LATIN	family	23
Aasta	LATIN	given	9
Aastrup	LATIN	family	10
Aasulv	LATIN	given	5
Aat	LATIN	given	13
Aatami	LATIN	given	6
Aatos	LATIN	given	29
Aatsinki	LATIN	family	6
Aatto	LATIN	given	19
Aatu	LATIN	given	23
Aav	LATIN	family	18
Aava	LATIN	family	15
Aavakivi	LATIN	family	6
Aavatsmark	LATIN	family	9
Aavik	LATIN	family	36
Aavikko	LATIN	family	5
Aavo	LATIN	given	40
Aaн	LATIN	family	7
Ab	LATIN	given	81
Ab Yberg	LATIN	family	19
Aba	LATIN	family	15
Aba	LATIN	given	30
Ababacar	LATIN	given	11
Abachidze	LATIN	family	98
Abacı	LATIN	family	11
Abacıoğlu	LATIN	family	5
Abad	LATIN	family	159
Abada	LATIN	family	8
Abadal	LATIN	family	15
Abadi	LATIN	family	23
Abadia	LATIN	family	7
Abadie	LATIN	family	115
Abadir	LATIN	family	7
Abadzhiev	LATIN	family	6
Abadía	LATIN	family	16
Abaffy	LATIN	family	11
Abaga	LATIN	family	11
Abah	LATIN	family	9
Abaixidze	LATIN	family	98
Abajev	LATIN	family	26
Abajew	LATIN	family	26
Abajtæ	LATIN	family	6
Abakanowicz	LATIN	family	5
Abakar	LATIN	family	5
Abakelia	LATIN	family	6
Abakirov	LATIN	family	9
Abakoumov	LATIN	family	24
Abakumov	LATIN	family	24
Abakumow	LATIN	family	24
Abakúmov	LATIN	family	24
