# The Financial products Markup Language, as the terms a program handling derivatives
# trades actually writes. FpML's complex types are already identifiers — Swap, CapFloor,
# CalculationPeriodDates — and most are phrases of more than one word, which is why the
# vocabulary is worth matching: a phrase is what a repository outside the domain does not
# hit by accident.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# prefLabel is the complex type's own name. broader is its xsd:extension base, dropped
# where the base carries a namespace prefix — such a base is XML Schema's, not FpML's.
# A base the schema set declares as a simple type is a format constraint and not a
# broader subject, so it is stated in note instead: 195 types extend Scheme and 32
# NonEmptyScheme, and placing account type beneath a name for a string is a subject the
# publisher did not state. A base the set declares nothing at all for stays in broader,
# because nothing here can say it is not a subject. definition is the type's
# own xsd:documentation with its line breaks collapsed. module is the product area in the
# schema file's own name: ird, cd, fx, eqd. NOT CARRIED, and said outright: simple types
# as concepts of their own, and global elements, each of which restates a complex type
# under a lowercased name.
#
# Which schemas: the FpML 5.11 confirmation view, which is the fullest statement of the
# products the standard covers — the other views restate its types with fields removed.
#
# Source: the FpML 5.11 confirmation schemas as the HandCoded toolkit repository vendors
#   them, at https://github.com/handcoded/fpml-toolkit-java/tree/cf7a6cba14470313505559e662252cff8d3afda5,
#   pinned by the SHA-256 ContentDigest states over the schema set:
#   b22291af8343d847590f8b0512475b189dc55f18cee460ab35328ebb0bd0aba4.
# Licence: the FpML Public License, stated in each schema file's own header. The Licensor of
#   the FpML Specifications is the International Swaps and Derivatives Association, Inc.
#   (ISDA); the licence is at https://www.fpml.org/the_standard/fpml-public-license/ and
#   grants use, reproduction, modification and distribution of the specifications or
#   portions of them, with this notice carried on a copy distributed outside software.
# Generated by FpmlTermsExtraction: 1405 complex types.
http://www.fpml.org/FpML-5/confirmation#AbstractLoanTradeEvent	AbstractLoanTradeEvent		AbstractLoanEvent	complexType	loan	An abstract structure defining fundamental master loan trade event information.	
http://www.fpml.org/FpML-5/confirmation#AbstractLoanTradeNotification	AbstractLoanTradeNotification		CorrectableRequestMessage	complexType	loan	An underlying abstract structure for all syndicated loan trade notifications; the wrapper for events which occur through the life-cycle of a loan trade.	
http://www.fpml.org/FpML-5/confirmation#AbstractPartyProfile	AbstractPartyProfile		AbstractPartyProfileId	complexType	loan	An abstract base type that describes a party profile.	
http://www.fpml.org/FpML-5/confirmation#AbstractPartyProfileId	AbstractPartyProfileId			complexType	loan	An abstract base type that identifies a party profile.	
http://www.fpml.org/FpML-5/confirmation#AbstractServicingNotification	AbstractServicingNotification		CorrectableRequestMessage	complexType	loan	An abstract base type for all syndicated loan servicing notifications; the wrapper for loan events which occur through the life-cycle of a deal.	
http://www.fpml.org/FpML-5/confirmation#AbstractTradingAccrual	AbstractTradingAccrual			complexType	loan	An underlying structure that details the elements that affect the calculation of a trade-related accrual.	
http://www.fpml.org/FpML-5/confirmation#Account	Account			complexType	shared	A generic account that represents any party's account at another party. Parties may be identified by the account at another party.	
http://www.fpml.org/FpML-5/confirmation#AccountId	AccountId			complexType	shared	The data type used for account identifiers.	NonEmptyScheme
http://www.fpml.org/FpML-5/confirmation#AccountName	AccountName			complexType	shared	The data type used for the name of the account.	Scheme
http://www.fpml.org/FpML-5/confirmation#AccountReference	AccountReference		Reference	complexType	shared	Reference to an account.	
http://www.fpml.org/FpML-5/confirmation#AccountType	AccountType			complexType	shared	The data type used for account type.	Scheme
http://www.fpml.org/FpML-5/confirmation#AccrualOptionBase	AccrualOptionBase			complexType	loan	An abstract type used for defining accrual structures within loan instruments.	
http://www.fpml.org/FpML-5/confirmation#AccrualOptionChangeEvent	AccrualOptionChangeEvent		AbstractFacilityEvent	complexType	loan	An event describing a change to an accrual option associated with a specific facility.	
http://www.fpml.org/FpML-5/confirmation#AccrualPeriod	AccrualPeriod			complexType	loan	A structure that describes the details of the underlying elements that explain the calculation of an accrual against a reference balance.	
http://www.fpml.org/FpML-5/confirmation#AccrualTypeId	AccrualTypeId			complexType	loan	A structure used to uniquely identify a single accrual type within a syndicated loan structure.	
http://www.fpml.org/FpML-5/confirmation#AccruingFeeChange	AccruingFeeChange		AbstractFacilityEvent	complexType	loan	An event describing a future change to an accruing fee associated with a specific facility.	
http://www.fpml.org/FpML-5/confirmation#AccruingFeeExpiry	AccruingFeeExpiry		AbstractFacilityEvent	complexType	loan	An event describing a future expiry of one of the accruing fees associated with a specific facility.	
