# How much of the literature OpenAlex places under each of its topics: the works it counts
# under the topic and the citations those works received. This is the publisher's own
# measure of how broad a topic is, and the spread is wide enough that a reading treating
# every topic as the same size is stating something OpenAlex did not — the largest topic
# holds several per cent of every work counted and the smallest a few ten-thousandths of
# one per cent.
#
# It is bundled beside openalex-topics.tsv rather than inside it because the eight columns
# of that file are SKOS's own properties, all of them text, and SKOS states no property for
# the size of a concept's corpus. The two files are written by one pass over one snapshot
# and both name the digest below, so a file regenerated against a different snapshot cannot
# sit beside one that was not.
#
# Columns: concept, worksCount, citedByCount. One row per topic; OpenAlex counts no subfield, field or domain,
# so those are absent rather than zero.
#
# Source: OpenAlex's own topics snapshot, s3://openalex/data/jsonl/topics/ at 2026-06-26, the manifest and the 6 parts it names, stating 4516 records,
#   pinned by the SHA-256 ContentDigest states over the manifest and the parts it names:
#   1536cbda3cc11838aaa67ef9c9c5f2b327a8ac8875ad07f306f4da44c16e8048.
# Licence: CC0 1.0 Universal. OpenAlex places its data in the public domain and asks to be
#   cited rather than requiring it (https://docs.openalex.org/additional-help/faq).
# Generated by OpenAlexTopicsExtraction: 4516 topics.
T10204	73842	1719662
T10205	131595	1318022
T10206	108396	3287261
T10207	147510	4375959
T10208	91054	1272871
T10209	172116	1534692
T10210	59874	1956435
T10211	173520	3145166
T10212	102368	2408462
T10213	82864	1066844
T10214	170511	1827157
T10215	172278	1498520
T10216	64117	675492
T10217	154143	2821275
T10218	106714	1804278
T10219	96819	1433217
T10220	67958	1109132
T10221	87434	1365414
T10222	94386	3175671
T10223	112237	1626224
T10224	236072	1978834
T10225	101050	1721653
T10226	111520	2343410
T10227	135477	2046007
T10228	69289	996139
T10229	93579	804395
T10230	199223	2378998
T10231	148225	2140705
T10232	115516	979010
T10233	59240	743023
T10234	115568	1883262
T10235	98353	2900460
T10236	202754	1917641
T10237	83083	1536524
T10238	154828	1948324
T10239	45922	409666
T10240	177691	2406519
T10241	122714	3322019
T10242	61022	1537947
T10243	59536	1510540
T10244	51380	751262
T10245	71853	1489726
T10246	75867	1014658
T10247	125040	3908697
T10248	111789	1548094
T10249	58665	1108385
T10250	153211	2014779
T10251	474323	2957829
T10252	429891	1684268
T10253	124324	1545423
T10254	158248	1195768
T10255	244389	2099551
T10256	67141	1253280
T10257	136175	2305004
T10258	96085	922131
T10259	271338	699537
T10260	108514	1589747
T10261	96411	2504573
T10262	107489	1022034
T10263	127394	2539139
T10264	109897	1030470
T10265	131962	1350058
T10266	108563	3242129
T10267	106771	1072023
T10268	163615	1981797
T10269	135299	3959191
T10270	148162	1553978
T10271	203826	1313955
T10272	86790	1765478
T10273	98137	1354075
T10274	98927	922428
T10275	89674	2395828
T10276	155692	2212479
T10277	98864	2056917
T10278	108033	1034297
T10279	101412	1288295
T10280	147285	1860338
T10281	83296	2313718
T10282	58552	995043
T10283	106550	1404433
T10284	65559	1252641
T10285	163632	1905217
T10286	38456	390001
T10287	101302	989688
T10288	80833	1387600
T10289	143623	1121057
T10290	318472	2020691
T10291	110336	1523500
T10292	85696	1561254
T10293	124902	1675537
T10294	72001	2793175
T10295	64532	1252671
T10296	112471	1661557
T10297	77979	543115
T10298	121592	1627737
T10299	211464	2170344
T10300	139272	1461068
T10301	161624	4302300
T10302	200983	3262537
T10303	160494	4631567
T10304	86793	723290
T10305	66673	830042
T10306	103316	1570593
T10307	122602	1651696
T10308	122395	1954856
T10309	118404	1860865
T10310	126277	1882018
T10311	70454	1355022
T10312	136294	339513
T10313	76649	1952692
T10314	68822	2680518
T10315	63015	2041091
T10316	98338	1924113
T10317	109191	1139575
T10318	132135	998900
T10319	80604	1415295
T10320	252180	4445142
T10321	86088	2419977
T10322	149870	1848209
T10323	84804	785483
T10324	61537	1293439
T10325	321477	2861799
T10326	80639	1090112
T10327	92568	1163511
T10328	62771	1074163
T10329	104307	1472750
T10330	165638	2440452
T10331	83040	1449721
T10332	274383	1461348
T10333	151105	2549764
T10334	84477	1609516
T10335	88922	1306689
T10336	87009	2530234
T10337	114553	1648471
T10338	122088	3364115
T10339	80709	1214083
T10340	157112	1979318
T10341	105692	2031822
T10342	97790	2659976
T10343	56350	1429366
T10344	89411	2184898
T10345	77297	1690157
T10346	9281786	2576699
T10347	124309	1630269
T10348	77136	448288
T10349	136092	1351356
T10350	83934	742160
T10351	256583	3550274
T10352	90181	1842355
T10353	84105	1624221
T10354	74626	2124994
T10355	117467	1585502
T10356	82724	926138
T10357	56919	986650
T10358	125262	1208451
T10359	124937	1523924
T10360	186418	2995191
T10361	76469	776131
T10362	407287	1103485
T10363	64183	646485
T10364	154970	2414204
T10365	89139	1590241
T10366	81086	853069
T10367	76901	644554
T10368	99872	987817
T10369	69057	666725
T10370	96484	989791
T10371	123866	3404802
T10372	162163	1955317
T10373	82521	1259374
T10374	80752	909096
T10375	87480	2102778
T10376	107334	1766751
T10377	142227	1881056
T10378	147428	2333664
T10379	73791	2539039
T10380	103095	1414546
T10381	84908	1158972
T10382	145560	2345366
T10383	81697	1452050
T10384	726330	896005
T10385	293354	1137441
T10386	100737	1216255
T10387	83335	2118158
T10388	73024	783745
T10389	76191	1444641
T10390	93328	1547013
T10391	276087	1676596
T10392	103091	1268106
T10393	115018	1896513
T10394	115734	2147874
T10395	117272	911197
T10396	116145	1310121
T10397	130823	1924121
T10398	69246	1324426
T10399	186879	2026019
T10400	146226	1441583
T10401	113490	1877502
T10402	93254	1947902
T10403	143068	1546197
T10404	100164	1818707
T10405	82132	1560655
T10406	187243	1632153
T10407	129364	3342735
T10408	65862	1385294
T10409	139753	2215626
T10410	101310	1353967
T10411	60458	1651274
T10412	79554	1746871
T10413	179269	2694551
T10414	94433	2127137
T10415	113391	1428220
T10416	90080	1548919
T10417	131142	1703748
T10418	126023	1398952
T10419	70709	2381793
T10420	89400	1236763
T10421	133021	1171764
T10422	79455	2596293
T10423	128157	2896312
T10424	80175	838680
T10425	156702	2310495
T10426	90952	1786991
T10427	123571	3459033
T10428	110075	1419285
T10429	165857	2431229
T10430	94217	821723
T10431	155282	642190
T10432	153244	3288660
T10433	93130	1693712
T10434	110205	2118825
T10435	74964	1302059
T10436	105868	1156939
T10437	62360	80954
T10438	93921	2059023
T10439	53874	855229
T10440	68367	1369707
T10441	93592	2133284
T10442	96299	1740217
T10443	157637	1526396
T10444	71043	879124
T10445	74483	2222786
T10446	84252	1168779
T10447	86460	1683861
T10448	75382	3049751
T10449	90855	1168471
T10450	142451	2092678
T10451	3218177	2005206
T10452	89644	1526065
T10453	99377	946992
T10454	49168	688656
T10455	80199	1060551
T10456	59223	565561
T10457	192288	197393
T10458	120549	1343438
T10459	83710	1204106
T10460	68778	596776
T10461	114388	2027822
T10462	59674	763307
T10463	146747	1882929
T10464	68849	222021
T10465	84317	1898268
T10466	132544	1642970
T10467	78276	1583180
T10468	73756	929094
T10469	75941	1315578
T10470	48498	518627
T10471	117421	1490961
T10472	191584	2631044
T10473	57667	984731
T10474	68053	1735647
T10475	85811	2045940
T10476	126081	2441663
T10477	162323	2516762
T10478	103677	1668266
T10479	124264	1253356
T10480	67330	1949073
T10481	80395	1021297
T10482	70165	1055030
T10483	66000	2256139
T10484	68241	462986
T10485	69381	1314725
T10486	116391	1497599
T10487	288099	5540365
T10488	53787	1534352
T10489	75633	2300826
T10490	60452	993614
T10491	67907	947797
T10492	112124	2736306
T10493	112052	3446739
T10494	143344	2235769
T10495	61854	1213167
T10496	134627	913051
T10497	112484	2230763
T10498	101007	1430020
T10499	98655	1730644
T10500	57565	1328719
T10501	74616	1246752
T10502	99134	1629698
T10503	186273	1401257
T10504	44986	409750
T10505	84970	2146437
T10506	100138	1515477
T10507	91380	1428278
T10508	54814	742588
T10509	92685	1147056
