# Wiktionary topic vocabulary, one row per headword: the word (multi-word phrases carry
# underscores, the written form the bundled WordNet resources use) and the union of topic
# labels across its senses, comma-separated. The dictionary saying which domains claim the
# word — membership is a vote's evidence, never a decision.
#
# Name: Wiktionary topic vocabulary
# Publisher: Wiktionary, through wiktextract at kaikki.org
# Kind: words
# Source: Wiktionary (https://en.wiktionary.org/), read from the wiktextract JSONL published
#   at kaikki.org (https://kaikki.org/dictionary/English/); Tatu Ylonen: "Wiktextract:
#   Wiktionary as Machine-Readable Structured Data", LREC 2022.
# Licence: this data file is derived from Wiktionary content and is distributed under
#   CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0/). The licence attaches to
#   this file, not to the code that reads or produced it.
# Generated by WiktionaryExtraction: 185768 words.
cpu_time	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
cpython	computing,engineering,mathematics,natural-sciences,physical-sciences,programming,sciences
cqb	government,military,politics,war
cqbw	engineering,government,military,natural-sciences,physical-sciences,politics,tools,war,weaponry
cqc	government,military,politics,war
cqi	business,communication,communications,electrical-engineering,electricity,electromagnetism,electronics,emergency-medicine,energy,engineering,medicine,natural-sciences,physical-sciences,physics,sciences
cqms	government,medicine,military,politics,sciences,war
cqrs	computing,engineering,mathematics,natural-sciences,physical-sciences,programming,sciences
cqs	computing,engineering,mathematics,natural-sciences,physical-sciences,programming,sciences
cqv	business,manufacturing
cr	accounting,biochemistry,biology,business,chemistry,computing,engineering,finance,government,hobbies,human-sciences,law,lifestyle,linguistics,mathematics,medicine,microbiology,natural-sciences,pharmacology,physical-sciences,physiology,politics,psychology,rail-transport,railways,sciences,sports,transport
cr.	accounting,banking,biblical,business,finance,lifestyle,money,religion
cr7	ball-games,games,hobbies,lifestyle,soccer,sports
cra	business,finance,law
crab	aeronautics,aerospace,astrology,astronomy,aviation,biology,broadcasting,business,card-games,engineering,film,government,hobbies,human-sciences,lifestyle,media,military,mysticism,natural-sciences,philosophy,physical-sciences,poker,politics,rowing,sciences,sports,television,war,zoology
crab_angle	aeronautics,aerospace,aviation,business,engineering,natural-sciences,physical-sciences
crab_canon	entertainment,lifestyle,music
crab_claw_sail	nautical,transport
crab_dolly	broadcasting,film,media,television
crab_market	business,finance
crab_nebula	astronomy,natural-sciences
crabbed	aeronautics,aerospace,aviation,business,engineering,natural-sciences,physical-sciences
crabber	nautical,transport
crabbing	falconry,hobbies,hunting,lifestyle
crabocado	cooking,food,lifestyle
crabronid	biology,natural-sciences,zoology
crabs	gambling,games
crabtree_effect	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
cracid	biology,natural-sciences,zoology
crack	chemistry,computing,engineering,geography,hydrodynamics,hydrology,mathematics,natural-sciences,physical-sciences,physics,sciences
crack_fic	lifestyle
crack_of_doom	lifestyle,religion
crack_out	drugs,medicine,pharmacology,sciences
crackback	American-football,ball-games,football,games,hobbies,lifestyle,sports
cracked-wheat_bread	cooking,food,lifestyle
cracked_out	drugs,medicine,pharmacology,sciences
cracked_wheat	cooking,food,lifestyle
cracker	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
cracker_bread	cooking,food,lifestyle
cracking	chemistry,geography,geology,natural-sciences,organic-chemistry,petrochemistry,petrology,physical-sciences
crackle	ceramics,chemistry,engineering,natural-sciences,physical-sciences,physics
crackleberry	fantasy
crackles	medicine,sciences
crackling	cooking,food,lifestyle
crackpot_index	natural-sciences,physical-sciences,physics,sciences
crackship	lifestyle
cracktastic	lifestyle
cracktro	computing,demoscene,engineering,lifestyle,mathematics,natural-sciences,physical-sciences,sciences
cracovian	astronomy,natural-sciences
cracticid	biology,natural-sciences,zoology
cradle	ball-games,business,carpentry,construction,games,hobbies,lacrosse,lifestyle,manufacturing,mining,nautical,sports,transport
cradle_cap	medicine,pathology,sciences
cradling	business,carpentry,construction,manufacturing
craf	aerospace,business,engineering,natural-sciences,physical-sciences
craft	arts,crafts,fishing,hobbies,lifestyle,nautical,transport,video-games
craft_service	broadcasting,film,media,television
craftmaster	nautical,transport
crag	dice,games,geography,geology,natural-sciences
cragfast	climbing,hobbies,lifestyle,sports
craigmontite	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
cram	business,manufacturing,textiles,weaving
cram_school	education
crambene	chemistry,natural-sciences,organic-chemistry,physical-sciences
crambin	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
cramdown	law
cramer's_rule	linear-algebra,mathematics,sciences
cramp_ball	biology,mycology,natural-sciences
cramper	medicine,sciences
crampet	ball-games,curling,games,government,hobbies,lifestyle,military,politics,sports,war
crampon	biology,botany,government,heraldry,hobbies,lifestyle,monarchy,natural-sciences,nobility,politics
cramponee	government,heraldry,hobbies,lifestyle,monarchy,nobility,politics
cramponned	government,heraldry,hobbies,lifestyle,monarchy,nobility,politics
crampony	government,heraldry,hobbies,lifestyle,monarchy,nobility,politics
cramér's_conjecture	mathematics,number-theory,sciences
cramér-rao_bound	mathematics,sciences,statistics
cran	computing,engineering,entertainment,lifestyle,mathematics,music,natural-sciences,physical-sciences,programming,sciences
cranberry_morpheme	human-sciences,linguistic-morphology,linguistics,morphology,sciences
cranberry_word	human-sciences,linguistics,sciences
cranborne_money	government,politics
crance	nautical,transport
crancelin	government,heraldry,hobbies,lifestyle,monarchy,nobility,politics
cranchiid	biology,natural-sciences,zoology
crandallite	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
crane	nautical,transport
crane-line	nautical,transport
crane_engine	rail-transport,railways,transport
crane_locomotive	rail-transport,railways,transport
crane_operator	business,construction,manufacturing
craneman	business,construction,manufacturing,mining
crangonid	biology,natural-sciences,zoology
crangonyctid	biology,natural-sciences,zoology
cranial	anatomy,medicine,sciences
cranial_base	anatomy,medicine,sciences
cranial_index	anthropology,human-sciences,medicine,sciences
cranial_kinesis	anatomy,medicine,sciences
cranial_nerve	anatomy,medicine,neuroanatomy,neurology,neuroscience,sciences
cranial_orbit	anatomy,medicine,sciences
cranialization	medicine,sciences,surgery
cranialmost	anatomy,medicine,sciences
craniate	biology,natural-sciences,zoology
cranidium	anatomy,medicine,sciences
craniectomize	medicine,sciences,surgery
craniectomy	medicine,sciences,surgery
craniid	biology,natural-sciences,zoology
craniocarpotarsal	anatomy,medicine,sciences
craniocaudal	anatomy,medicine,sciences
craniocele	medicine,pathology,sciences
craniocentral	anatomy,medicine,sciences
craniocerebellocardiac	medicine,pathology,sciences
craniocerebral	anatomy,medicine,sciences
cranioclasm	medicine,sciences
cranioclast	medicine,sciences
craniodiaphyseal	anatomy,medicine,sciences
craniodorsolateral	anatomy,medicine,sciences
cranioencephalic	anatomy,medicine,sciences
craniofacial	medicine,sciences
craniofrontonasal	anatomy,medicine,sciences
craniolacunia	medicine,pathology,sciences
craniolateral	anatomy,medicine,sciences
craniomalacia	medicine,pathology,sciences
craniomapper	medicine,sciences,surgery
craniomaxillofacial	anatomy,medicine,sciences
craniomedial	anatomy,medicine,sciences
craniometaphyseal	anatomy,medicine,sciences
craniometry	anthropology,human-sciences,medicine,sciences
cranioneuropathy	medicine,pathology,sciences
craniooccipital	anatomy,medicine,sciences
cranioorbital	anatomy,medicine,sciences
craniopagus	medicine,sciences
craniopagus_parasiticus	medicine,pathology,sciences
craniopalatine	anatomy,medicine,sciences
craniopharyngiomatous	medicine,sciences
cranioproximal	anatomy,medicine,sciences
cranioquadrate	anatomy,medicine,sciences
craniorachischisis	medicine,pathology,sciences
craniorrhachischisis	medicine,pathology,sciences
craniosacral_therapy	alternative-medicine,medicine,sciences
craniosclerosis	medicine,pathology,sciences
cranioskeletal	anatomy,medicine,sciences
craniostosis	medicine,pathology,sciences
craniosurgery	medicine,sciences,surgery
craniosynostosis	medicine,pathology,sciences
craniotabes	medicine,sciences
craniothoracic	anatomy,medicine,sciences
craniotomize	medicine,sciences,surgery
craniotomy	medicine,sciences,surgery
craniotubular	medicine,pathology,sciences
craniovascular	anatomy,medicine,sciences
craniovertebral	anatomy,medicine,sciences
craniovisceral	anatomy,medicine,sciences
cranium	anatomy,anthropology,human-sciences,medicine,sciences
crank	ball-games,baseball,games,hobbies,lifestyle,nautical,sports,transport
crank_arm	cycling,hobbies,lifestyle,sports
crank_axle	engineering,mechanical,mechanical-engineering,natural-sciences,physical-sciences
crank_the_handle	business
crankbait	fishing,hobbies,lifestyle
crankness	nautical,transport
crankwalk	automotive,engineering,natural-sciences,physical-sciences,transport,vehicles
crankweb	engineering,mechanical,mechanical-engineering,natural-sciences,physical-sciences
cranoglanidid	biology,natural-sciences,zoology
cranse	nautical,transport
cranse_iron	nautical,transport
cranze	nautical,transport
crao	medicine,ophthalmology,sciences
crap	dice,gambling,games,government,politics
crap_out	gambling,games,government,military,politics,war
crapaudine	cooking,food,lifestyle
crapfic	lifestyle
craplication	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
crappit-head	cooking,food,lifestyle
crapplet	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
crapplication	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
craps	dice,gambling,games
crapware	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
crasbo	government,law-enforcement
craseonycterid	biology,natural-sciences,zoology
crash	arts,biology,bookbinding,business,computing,crafts,ecology,education,engineering,finance,hobbies,lifestyle,management,manufacturing,mathematics,natural-sciences,physical-sciences,sciences,software,textiles
crash_axe	aeronautics,aerospace,aviation,business,engineering,natural-sciences,physical-sciences
crash_blossom	human-sciences,linguistics,sciences
crash_box	automotive,transport,vehicles
crash_cart	emergency-medicine,medicine,sciences
crash_dive	government,military,politics,war
crash_gearbox	automotive,transport,vehicles
crash_out	chemistry,computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
crash_pad	aeronautics,aerospace,aviation,business,climbing,engineering,hobbies,lifestyle,natural-sciences,physical-sciences,sports
crash_team	emergency-medicine,medicine,sciences
crash_tender	firefighting,government
crash_to_desktop	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences,software
crash_trolley	emergency-medicine,medicine,sciences
crashable	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
crashdump	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
crasher	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
crashmat	climbing,hobbies,lifestyle,sports
crashproof	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
crashy	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
crasis	human-sciences,linguistics,phonetics,phonology,prosody,sciences
craspedodromous	biology,botany,natural-sciences
craspedodromously	biology,botany,natural-sciences
craspedon	biology,natural-sciences
craspedophyllid	biology,natural-sciences,zoology
craspedophyte	biology,botany,natural-sciences
craspedotal	biology,natural-sciences,zoology
craspedote	biology,natural-sciences,zoology
crassatellid	biology,natural-sciences,zoology
crassinucellate	biology,botany,natural-sciences
crassula	biology,botany,natural-sciences
crassulacean	biology,botany,natural-sciences
crassulaceous	biology,botany,natural-sciences
crassulescent	biology,botany,natural-sciences
crastinal	grammar,human-sciences,linguistics,sciences
crataeis	human-sciences,mysticism,mythology,philosophy,sciences
cratch	nautical,transport
crate	computing,engineering,mathematics,natural-sciences,physical-sciences,programming,sciences
crate-dig	entertainment,lifestyle,music
crate_engine	automotive,transport,vehicles
crate_motor	automotive,transport,vehicles
cratedigger	entertainment,lifestyle,music
crater	astronomy,geography,geology,hobbies,lifestyle,natural-sciences,snowboarding,sports,video-games
crater_lake	geography,geology,natural-sciences
crater_of_eternal_darkness	aerospace,business,engineering,natural-sciences,physical-sciences,space-science
craterform	geography,geology,natural-sciences
craterid	astronomy,natural-sciences
crateriform	biology,botany,natural-sciences
cratonic_sequence	geography,geology,natural-sciences
cratoxylone	chemistry,natural-sciences,organic-chemistry,physical-sciences
cratylism	human-sciences,philosophy,sciences
craunch	business,mining
cravat	medicine,sciences,surgery
cravenoceratid	biology,natural-sciences,zoology
crawfordite	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
crawl	broadcasting,film,media,television
crawl_control	automotive,transport,vehicles
crawl_space	architecture,business,construction,manufacturing
crawler	hobbies,lifestyle,sports
crawler_crane	business,construction,manufacturing
crawler_lane	automotive,road,transport,vehicles
crawlerway	aerospace,business,engineering,natural-sciences,physical-sciences
crawling_peg	economics,sciences
craxism	government,politics
crayer	nautical,transport
crayette	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
crayon_license	computer,computing,engineering,mathematics,natural-sciences,physical-sciences,science,sciences
craze	ceramics,chemistry,engineering,natural-sciences,physical-sciences
craze_line	dentistry,medicine,sciences
crazy_bread	cooking,food,lifestyle
crazy_eight	card-games,games
crazy_eights	card-games,games
crazy_golf	golf,hobbies,lifestyle,sports
crazy_ivan	government,military,naval,navy,politics,war
crazy_water	cooking,food,lifestyle
crazyhouse	board-games,chess,games
crazymaking	human-sciences,psychology,sciences
crc	Christianity,aeronautics,aerospace,aviation,business,chemistry,computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
cre	medicine,pathology,sciences
creaky	human-sciences,linguistics,sciences
creaky_voice	human-sciences,linguistics,phonetics,phonology,sciences
cream	cooking,food,lifestyle,medicine,sciences
cream-skim	business
cream_gene	biology,genetics,medicine,natural-sciences,sciences
cream_of_tartar	chemistry,natural-sciences,organic-chemistry,physical-sciences
cream_of_tartar_bread	cooking,food,lifestyle
cream_puff	ball-games,baseball,games,government,hobbies,lifestyle,military,politics,sports,war
cream_puff_piece	journalism,media,publishing
cream_skimming	economics,sciences
cream_stew	cooking,food,lifestyle
creampie	lifestyle,media,pornography,sexuality
creamware	ceramics,chemistry,engineering,natural-sciences,physical-sciences
creamy	arts,hobbies,lifestyle,photography
creance	falconry,hobbies,hunting,lifestyle
crease	ball-games,cricket,games,handball,hobbies,ice-hockey,lacrosse,lifestyle,skating,sports
creaseyite	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
creasing	architecture
creatianism	lifestyle,religion
creatinase	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
creatine	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
creatine_kinase	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
creatine_monohydrate	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
creatine_phosphate	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
creatine_phosphokinase	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
creatinemia	medicine,pathology,sciences
creatininase	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
creatinine	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
creatininemia	medicine,pathology,sciences
creatinolfosfate	medicine,pharmacology,sciences
creatinuria	medicine,pathology,sciences
creation	biblical,human-sciences,lifestyle,philosophy,religion,sciences
creational_pattern	arts,computing,design,engineering,mathematics,natural-sciences,physical-sciences,sciences
creationism	lifestyle,religion,theology
creationist_orchard	pseudoscience
creative	mathematics,sciences,set-theory
creative_accounting	business
creative_destruction	capitalism,economics,government,human-sciences,ideology,philosophy,politics,sciences
creative_work	copyright,intellectual-property,law
creatonotine	chemistry,natural-sciences,organic-chemistry,physical-sciences
creator	hobbies,lifestyle,religion,sports
creatorism	human-sciences,lifestyle,philosophy,religion,sciences
creature	lifestyle,religion
creature_feature	broadcasting,film,media,television
cred	computing,engineering,literature,mathematics,media,natural-sciences,physical-sciences,publishing,science-fiction,sciences
credal	mathematics,sciences
creddie	lifestyle
credence	lifestyle,religion
credencive	human-sciences,medicine,phrenology,psychology,sciences
credendum	lifestyle,religion,theology
credential_stuffing	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
credentials	computing,engineering,mathematics,natural-sciences,networking,physical-sciences,sciences
credibility	law
credit	accounting,broadcasting,business,film,finance,law,literature,media,publishing,science-fiction,television
credit-deposit_ratio	business,finance
credit-linked_note	business,finance
credit_balance	accounting,banking,business,finance
credit_card	banking,business
credit_card_terminal	computer-hardware,computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
credit_cookie	broadcasting,film,media,television,video-games
credit_crunch	business,economics,finance,sciences
credit_default_option	business,finance
credit_default_swap	business,finance
credit_event	business,finance
credit_facility	banking,business,finance
credit_history	business,finance
credit_hour	education
credit_limit	banking,business,finance
credit_line	banking,business,finance,media,publishing
credit_management	business
credit_manager	business
credit_money	banking,business,finance
credit_note	accounting,business,finance
credit_rating	business,finance
credit_report	business,finance
credit_risk	business,finance
credit_score	business,finance
credit_union	business,finance
creditism	economics,sciences
creditor	business,finance
creditor's_rights	law
credits_warp	video-games
creditworthiness	business,finance
creditworthy	business,finance
crednerite	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
credo	Christianity
credobaptism	Christianity
credobaptist	lifestyle,religion
creed	Christianity,lifestyle,religion
creediid	biology,natural-sciences,zoology
creedite	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
creek	lifestyle
creel	business,fishing,hobbies,lifestyle,manufacturing,textiles
creep	agriculture,business,geography,geology,lifestyle,media,natural-sciences,publishing
creeper	ball-games,cricket,games,hobbies,lifestyle,nautical,sports,transport
creeper_gear	agriculture,automotive,business,lifestyle,transport,vehicles
creeping_elegance	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences,software
creeping_eruption	medicine,parasitology,sciences
creeping_freehold	law
creeping_gromwell	biology,botany,natural-sciences
creepmeter	geography,geology,natural-sciences
creepware	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
crellid	biology,natural-sciences,zoology
cremaster	anatomy,biology,medicine,natural-sciences,sciences,zoology
cremasteric	anatomy,medicine,sciences
creme_pat	cooking,food,lifestyle
cremnophyte	biology,botany,natural-sciences
cremocarp	biology,botany,natural-sciences
cremocarpium	biology,botany,natural-sciences
cremona-richmond_configuration	geometry,mathematics,sciences
cremona_group	geometry,mathematics,sciences
crena	sciences
crenactin	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
crenate	biology,botany,chemistry,natural-sciences,physical-sciences
crenation	biology,botany,natural-sciences
crenator	biology,natural-sciences
crenature	biology,botany,natural-sciences
crenelated_molding	architecture
crenellated_moulding	architecture
crenelled	biology,botany,natural-sciences
crenezumab	medicine,pharmacology,sciences
crenic_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
crenobiont	biology,ecology,natural-sciences
crenophilous	biology,ecology,natural-sciences
crenotherapy	alternative-medicine,medicine,sciences
crenuchid	biology,natural-sciences,zoology
crenula	biology,natural-sciences,zoology
crenulate	sciences
crenule	sciences
creole	cooking,food,human-sciences,jewelry,lifestyle,linguistics,sciences
creolistics	human-sciences,linguistics,sciences
creolization	human-sciences,linguistics,sciences
creolize	human-sciences,linguistics,sciences
creologenic	human-sciences,linguistics,sciences
creoloid	human-sciences,linguistics,sciences
creon	human-sciences,mysticism,mythology,philosophy,sciences
creosol	chemistry,natural-sciences,organic-chemistry,physical-sciences
crepature	medicine,sciences
crepenynic_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
crepidoma	architecture
crepidotaceous	biology,mycology,natural-sciences
crepis	biology,botany,natural-sciences
crepital	medicine,sciences
crepitate	medicine,sciences
crepitus	medicine,sciences
creps	medicine,sciences
crepuscular	biology,natural-sciences,zoology
crerarite	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
cres.	entertainment,lifestyle,music
cresc	entertainment,lifestyle,music
crescendo	entertainment,lifestyle,music
crescent	Islam,government,heraldry,hobbies,lifestyle,monarchy,nobility,politics,religion
crescentiaceous	biology,botany,natural-sciences
crescentin	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
cresol	chemistry,natural-sciences,organic-chemistry,physical-sciences
cresolase	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
cresolate	chemistry,natural-sciences,physical-sciences
cresolphthalein	chemistry,natural-sciences,organic-chemistry,physical-sciences
cresorcin	chemistry,natural-sciences,physical-sciences
cress	biology,botany,natural-sciences
cressagian	geography,geology,natural-sciences
cressid	biology,natural-sciences,zoology
cressida	astronomy,natural-sciences
cressidian	astronomy,literature,media,natural-sciences,publishing
crest	anatomy,government,heraldry,hobbies,lifestyle,medicine,military,monarchy,nobility,politics,sciences,war
crest_cloud	climatology,meteorology,natural-sciences
crestal	biology,natural-sciences,zoology
crestie	biology,birdwatching,natural-sciences,ornithology
cresting	architecture,biology,botany,natural-sciences
crestmoreite	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
crestule	biology,natural-sciences,zoology
creswellian	archaeology,history,human-sciences,sciences
cresyl	chemistry,natural-sciences,organic-chemistry,physical-sciences
cresylate	chemistry,natural-sciences,organic-chemistry,physical-sciences
cresylic_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
cretaceous	geography,geology,natural-sciences
cretifaction	medicine,sciences
cretify	medicine,sciences
cretin	medicine,sciences
cretinic	medicine,sciences
cretinism	medicine,sciences
cretinistic	medicine,sciences
cretoxyrhinid	biology,natural-sciences,zoology
creutzfeldt-jakob_disease	medicine,neurology,neuroscience,pathology,sciences
crevicular	anatomy,medicine,sciences
crew	art,arts,dancing,government,hip-hop,hobbies,lifestyle,nautical,politics,rowing,sports,transport
crew-served	government,military,politics,war
crew-served_weapon	government,military,politics,war
crew_chief	hobbies,lifestyle,sports
crewman	government,military,politics,war
creäture	human-sciences,philosophy,sciences
crf	biology,computer,computing,engineering,mathematics,natural-sciences,physical-sciences,science,sciences
crfb	government,politics
crg	astronomy,government,natural-sciences,politics
crh	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
crhergic	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
cri_du_chat_syndrome	medicine,sciences
crib	computing,cryptography,engineering,mathematics,natural-sciences,nautical,physical-sciences,sciences,transport
crib-biting	equestrianism,hobbies,horses,lifestyle,pets,sports
crib_death	medicine,pathology,sciences
crib_talk	human-sciences,linguistics,psychology,sciences
cribbage	card-games,games
cribbing	equestrianism,hobbies,horses,lifestyle,pets,sports
cribellum	biology,natural-sciences,zoology
cribriform_plate	anatomy,medicine,sciences
cribrilinid	biology,natural-sciences,zoology
cric	medicine,sciences
cricetid	biology,natural-sciences,zoology
crichtonite	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
cricket	aeronautics,aerospace,aviation,business,engineering,hobbies,lifestyle,natural-sciences,physical-sciences,sports
cricket_bat	ball-games,cricket,games,hobbies,lifestyle,sports
cricket_whites	ball-games,cricket,games,hobbies,lifestyle,sports
cricketana	ball-games,cricket,games,hobbies,lifestyle,sports
crico-	anatomy,medicine,sciences
cricoarytenoid	anatomy,medicine,sciences
cricoarytenoid_muscle	anatomy,medicine,sciences
cricoarytenoideus	anatomy,medicine,sciences
cricoesophageal	anatomy,medicine,sciences
cricoid	anatomy,medicine,sciences
cricoid_cartilage	anatomy,medicine,sciences
cricoidectomy	medicine,sciences,surgery
cricondenbar	natural-sciences,physical-sciences,physics
cricondentherm	natural-sciences,physical-sciences,physics
cricopharyngeal	anatomy,medicine,sciences
cricopharyngeus	anatomy,medicine,sciences
cricothyroid	anatomy,medicine,sciences
cricothyroid_muscle	anatomy,medicine,sciences
cricothyroideus	anatomy,medicine,sciences
cricothyroidotomy	medicine,sciences
cricothyrotomy	medicine,sciences,surgery
cricotomy	medicine,sciences,surgery
cricotracheal	anatomy,medicine,sciences
criddleite	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
crifanac	lifestyle
crification	human-sciences,linguistics,sciences
crigler-najjar_syndrome	medicine,pathology,sciences
crike	medicine,sciences
crim.	law
crim._con.	law
crimance	broadcasting,film,media,television
crime	computing,engineering,government,mathematics,military,natural-sciences,physical-sciences,politics,sciences,war
crime_against_humanity	law
crime_against_nature	law
crime_minister	government
crime_of_passion	criminology,human-sciences,law,sciences
crime_rate	criminology,human-sciences,law,sciences
crime_scene_cleaner	criminology,human-sciences,law,sciences
crime_scene_tape	criminology,government,human-sciences,law,law-enforcement,sciences
crime_science	criminology,human-sciences,law,sciences
crime_scientist	criminology,human-sciences,law,sciences
crimen	ecclesiastical,law,lifestyle,religion
crimen_adulterii	law
crimen_exceptum	law
crimen_falsi	law
crimeware	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
criminal_code	law
criminal_conversation	law
criminal_law	law
criminal_lawyer	law
criminal_negligence	law
criminal_offense	law
criminal_procedure	law
criminal_science	criminology,human-sciences,law,sciences
criminal_scientist	criminology,human-sciences,law,sciences
crimm	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
crimp	business,climbing,electrical-engineering,electricity,electromagnetism,energy,engineering,hobbies,law,lifestyle,natural-sciences,physical-sciences,physics,sports
crimpage	climbing,hobbies,lifestyle,sports
crimping_tool	business,electrical-engineering,electricity,electromagnetism,energy,engineering,natural-sciences,physical-sciences,physics
crimpy	climbing,hobbies,lifestyle,sports
crimson_lake	art,arts
crinamidine	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
crined	government,heraldry,hobbies,lifestyle,monarchy,nobility,politics
crinel	falconry,hobbies,hunting,lifestyle
crinet	falconry,hobbies,hunting,lifestyle
cringle	nautical,transport
cringled	nautical,transport
criniferous	biology,botany,natural-sciences
crinite	biology,botany,natural-sciences,zoology
crinitol	chemistry,natural-sciences,organic-chemistry,physical-sciences
crink	geopolitics,government,politics
crinkle	baking,cooking,food,lifestyle
crinklebutt	lifestyle
crinkler	lifestyle
crinoidal	biology,natural-sciences,zoology
crinoidean	biology,natural-sciences,zoology
crinosterol	chemistry,natural-sciences,organic-chemistry,physical-sciences
crinum	biology,natural-sciences,taxonomy
criocone	biology,malacology,natural-sciences
crioconic	biology,malacology,natural-sciences
criodrilid	biology,natural-sciences,zoology
crip	dance,dancing,hobbies,lifestyle,sports
cripple	video-games
crippler	biology,birdwatching,natural-sciences,ornithology
crippleware	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
cripps_question	intellectual-property,law,patent-law
cris	computing,engineering,mathematics,medicine,natural-sciences,physical-sciences,sciences,software
crisiid	biology,natural-sciences,zoology
crisis	broadcasting,drama,dramaturgy,entertainment,film,human-sciences,lifestyle,media,medicine,psychology,sciences,television,theater
crisis_actor	government,politics
crisis_management	business
crisis_response_team	government,law-enforcement
crisp	beverages,biology,botany,computing,computing-theory,engineering,food,lifestyle,mathematics,natural-sciences,oenology,physical-sciences,sciences,wine
crispant	biology,genetics,medicine,natural-sciences,sciences
crispate	biology,botany,natural-sciences
crispedly	biology,botany,natural-sciences
crispener	broadcasting,media,television
crispification	mathematics,sciences
crispify	mathematics,sciences
crisping	mathematics,sciences,topology
crispr	biology,genetics,medicine,microbiology,natural-sciences,sciences
crista	biology,botany,cytology,dentistry,medicine,natural-sciences,sciences
crista_ampullaris	anatomy,medicine,sciences
cristal	anatomy,medicine,sciences
cristarque	biology,botany,natural-sciences
cristobalite	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
cristospina	anatomy,medicine,sciences
crit	cycling,hobbies,lifestyle,medicine,sciences,sports
crit_care	medicine,sciences
crit_out	video-games
criteriality	human-sciences,linguistics,sciences
criteriologic	human-sciences,philosophy,sciences
criteriologically	human-sciences,philosophy,sciences
criteriology	human-sciences,philosophy,sciences
criterion_of_verifiability	human-sciences,philosophy,sciences
criterion_of_verification	human-sciences,philosophy,sciences
criterionless	human-sciences,philosophy,sciences
criterium	cycling,hobbies,lifestyle,sports
crith	natural-sciences,physical-sciences,physics
crithidial	biology,natural-sciences,zoology
crithmumdiol	chemistry,natural-sciences,organic-chemistry,physical-sciences
critical	biology,botany,human-sciences,linguistics,medicine,natural-sciences,physical-sciences,physics,sciences,textual-criticism
critical_angle	aeronautics,aerospace,architecture,aviation,business,engineering,natural-sciences,optics,physical-sciences,physics
critical_applied_linguistics	human-sciences,linguistics,sciences
critical_brain_hypothesis	medicine,neuroscience,sciences
critical_care	medicine,sciences
