# Wiktionary topic vocabulary, one row per headword: the word (multi-word phrases carry
# underscores, the written form the bundled WordNet resources use) and the union of topic
# labels across its senses, comma-separated. The dictionary saying which domains claim the
# word — membership is a vote's evidence, never a decision.
#
# Name: Wiktionary topic vocabulary
# Publisher: Wiktionary, through wiktextract at kaikki.org
# Kind: words
# Source: Wiktionary (https://en.wiktionary.org/), read from the wiktextract JSONL published
#   at kaikki.org (https://kaikki.org/dictionary/English/); Tatu Ylonen: "Wiktextract:
#   Wiktionary as Machine-Readable Structured Data", LREC 2022.
# Licence: this data file is derived from Wiktionary content and is distributed under
#   CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0/). The licence attaches to
#   this file, not to the code that reads or produced it.
# Generated by WiktionaryExtraction: 185768 words.
-curium	medicine,pharmacology,sciences
-curonium	medicine,pharmacology,sciences
-cycline	medicine,pharmacology,sciences
-dactyl	biology,natural-sciences,zoology
-dan	medicine,pharmacology,sciences
-dazole	medicine,pharmacology,sciences
-desis	medicine,sciences
-desmosidic	chemistry,natural-sciences,organic-chemistry,physical-sciences
-diene	chemistry,natural-sciences,organic-chemistry,physical-sciences
-dil	medicine,pharmacology,sciences
-dil-	medicine,pharmacology,sciences
-dilol	medicine,pharmacology,sciences
-dipine	medicine,pharmacology,sciences
-dom	BDSM,lifestyle,sexuality
-dopa	medicine,pharmacology,sciences
-dralazine	medicine,pharmacology,sciences
-drine	medicine,pharmacology,sciences
-dronate	medicine,pharmacology,sciences
-dronic	chemistry,medicine,natural-sciences,organic-chemistry,pharmacology,physical-sciences,sciences
-duct	anatomy,engineering,medicine,natural-sciences,physical-sciences,sciences
-dutant	medicine,pharmacology,sciences
-dyl	medicine,pharmacology,sciences
-dyne	aeronautics,aerospace,aviation,business,engineering,natural-sciences,physical-sciences
-e-	medicine,pharmacology,sciences
-ectomy	medicine,sciences,surgery
-ee	law,medicine,sciences
-ein	chemistry,natural-sciences,physical-sciences
-eine	chemistry,natural-sciences,physical-sciences
-enchyma	biology,natural-sciences
-ene	chemistry,natural-sciences,organic-chemistry,physical-sciences
-entan	medicine,pharmacology,sciences
-enyl	chemistry,natural-sciences,organic-chemistry,physical-sciences
-er	entertainment,law,lifestyle,literature,media,publishing
-erg-	medicine,pharmacology,sciences
-ergic	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
-eridine	medicine,pharmacology,sciences
-erize	human-sciences,linguistics,sciences
-estr-	medicine,pharmacology,sciences
-ethidine	medicine,pharmacology,sciences
-etine	chemistry,natural-sciences,organic-chemistry,physical-sciences
-ette	fiction,literature,media,publishing
-exia	medicine,pathology,sciences
-fenac	medicine,pharmacology,sciences
-fentanil	medicine,pharmacology,sciences
-fiban	medicine,pharmacology,sciences
-fibrate	medicine,pharmacology,sciences
-filcon	medicine,sciences
-fix	grammar,human-sciences,linguistics,sciences
-floxacin	medicine,pharmacology,sciences
-flurane	medicine,pharmacology,sciences
-focon	medicine,sciences
-formin	medicine,pharmacology,sciences
-fos	medicine,pharmacology,sciences
-fos-	medicine,pharmacology,sciences
-fosfamide	medicine,pharmacology,sciences
-fosine	medicine,pharmacology,sciences
-fovir	medicine,pharmacology,sciences
-frine	medicine,pharmacology,sciences
-fu-	medicine,pharmacology,sciences
-fung-	medicine,pharmacology,sciences
-fungin	medicine,pharmacology,sciences
-gab-	medicine,pharmacology,sciences
-gamy	biology,natural-sciences
-gatran	medicine,pharmacology,sciences
-gaze	entertainment,lifestyle,music
-genin	chemistry,natural-sciences,physical-sciences
-gest	medicine,pharmacology,sciences
-gesterone	medicine,pharmacology,sciences
-gestr-	medicine,pharmacology,sciences
-giline	medicine,pharmacology,sciences
-gliflozin	medicine,pharmacology,sciences
-gliptin	medicine,pharmacology,sciences
-glitazar	medicine,pharmacology,sciences
-glitazone	medicine,pharmacology,sciences
-glossia	anatomy,human-sciences,linguistics,medicine,sciences
-glot	anatomy,medicine,sciences
-glutide	medicine,pharmacology,sciences
-gnath	biology,natural-sciences,zoology
-gnathic	anatomy,medicine,sciences
-gnathism	anatomy,medicine,sciences
-gnathous	biology,natural-sciences
-go-	medicine,pharmacology,sciences
-golide	medicine,pharmacology,sciences
-gon	geometry,mathematics,sciences
-gonium	biology,mycology,natural-sciences
-got-	medicine,pharmacology,sciences
-gov-	medicine,pharmacology,sciences
-grade	biology,natural-sciences,zoology
-grel	medicine,pharmacology,sciences
-grel-	medicine,pharmacology,sciences
-guessr	video-games
-gyny	biology,botany,natural-sciences
-h-	lifestyle
-hedron	geometry,mathematics,sciences
-i-	medicine,pharmacology,sciences
-iasis	medicine,pathology,sciences
-ic	chemistry,natural-sciences,physical-sciences
-icam	medicine,pharmacology,sciences
-icase	medicine,pharmacology,sciences
-ichnion	biology,history,human-sciences,natural-sciences,paleontology,sciences
-id	astronomy,biology,botany,dentistry,history,human-sciences,literature,media,medicine,mysticism,mythology,natural-sciences,paleontology,philosophy,publishing,sciences,taxonomy
-idene	chemistry,natural-sciences,physical-sciences
-idian	sciences
-idine	chemistry,medicine,natural-sciences,organic-chemistry,pharmacology,physical-sciences,sciences
-ifene	medicine,pharmacology,sciences
-ile	mathematics,sciences,statistics
-ilide	medicine,pharmacology,sciences
-imibe	medicine,pharmacology,sciences
-imus	medicine,pharmacology,sciences
-in	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
-ine	anthropology,biology,chemistry,human-sciences,natural-sciences,physical-sciences,sciences,zoology
-ino	natural-sciences,physical-sciences,physics
-iod-	medicine,pharmacology,sciences
-irudin	medicine,pharmacology,sciences
-ism	medicine,sciences
-ite	biology,chemistry,natural-sciences,physical-sciences
-itis	medicine,pathology,sciences
-itol	chemistry,natural-sciences,organic-chemistry,physical-sciences
-ium	chemistry,natural-sciences,physical-sciences
-izine	medicine,pharmacology,sciences
-k-	medicine,pharmacology,sciences
-kacin	medicine,pharmacology,sciences
-ki-	medicine,pharmacology,sciences
-kin-	medicine,pharmacology,sciences
-kinra	medicine,pharmacology,sciences
-kiren	medicine,pharmacology,sciences
-l-	medicine,pharmacology,sciences
-lang	computing,engineering,human-sciences,linguistics,mathematics,natural-sciences,physical-sciences,programming,sciences
-lect	human-sciences,linguistics,sciences
-lept	biology,chemistry,microbiology,natural-sciences,palynology,physical-sciences
-leptic	chemistry,natural-sciences,physical-sciences
-les-	medicine,pharmacology,sciences
-li-	medicine,pharmacology,sciences
-lim-	medicine,pharmacology,sciences
-limnion	biology,ecology,geography,geology,limnology,natural-sciences
-logue	sciences
-lukast	medicine,pharmacology,sciences
-lutamide	medicine,pharmacology,sciences
-ma-	medicine,pharmacology,sciences
-mab	medicine,pharmacology,sciences
-mance	lifestyle,video-games
-mancer	lifestyle
-mancy	fantasy
-mantadine	medicine,pharmacology,sciences
-mar-	medicine,pharmacology,sciences
-me-	medicine,pharmacology,sciences
-mel-	medicine,pharmacology,sciences
-mer	chemistry,natural-sciences,physical-sciences
-merous	biology,botany,natural-sciences,zoology
-mestane	medicine,pharmacology,sciences
-metacin	medicine,pharmacology,sciences
-metasone	medicine,pharmacology,sciences
-methasone	medicine,pharmacology,sciences
-micin	medicine,pharmacology,sciences
-mictic	biology,ecology,geography,geology,limnology,natural-sciences
-mifene	medicine,pharmacology,sciences
-mo	media,printing,publishing
-morelin	medicine,pharmacology,sciences
-motide	medicine,pharmacology,sciences
-mu-	medicine,pharmacology,sciences
-mul-	medicine,pharmacology,sciences
-mycete	biology,mycology,natural-sciences
-mycin	medicine,pharmacology,sciences
-n-	medicine,pharmacology,sciences
-nab	medicine,pharmacology,sciences
-nab-	medicine,pharmacology,sciences
-nakinra	medicine,pharmacology,sciences
-nasty	biology,botany,natural-sciences
-navir	medicine,pharmacology,sciences
-ne-	medicine,pharmacology,sciences
