# What Wikipedia says each Computer Science Ontology topic is, for the topics CSO itself
# links to an article.
#
# CSO states no definition for any of its 11,438 topics, so a placement comparing prose has
# nothing of CSO's own to compare against. CSO does state owl:sameAs for 5,294 of them,
# naming a DBpedia resource — which is the English Wikipedia article of that title, by
# DBpedia's own construction. Reading the article CSO names is following the publisher's
# own link. Nothing here pairs two vocabularies; CSO paired them.
#
# Columns: concept, article, revision, summary. concept is CSO's own topic identifier and
# joins this file to cso-topics.tsv. article is the title CSO's sameAs named. revision is
# the Wikipedia revision the summary was read at, and it is the citation: a page moves and
# a revision does not, so every row here names a fixed version of a moving article the way
# a commit pins a repository. A topic whose article states no summary keeps its row with an
# empty one, because a link that led nowhere is a fact about the link.
#
# 5294 rows, 5159 of them stating prose, 368402 words in all.
#
# Name: Wikipedia summaries of the Computer Science Ontology's topics
# Publisher: the Wikimedia Foundation (https://en.wikipedia.org/)
# Kind: subjects
# Source: the Wikimedia REST summary API, https://en.wikipedia.org/api/rest_v1/, one
#   request per article CSO names, following redirects. The links themselves come from
#   CSO 3.5's own owl:sameAs statements, in the archive cso-topics.tsv is pinned to.
# Retrieved: 2026-08-29. Each row's revision column is what a later run compares
#   against, so a summary that has since been rewritten is visible rather than silent.
# Licence: this data file is derived from Wikipedia content and is distributed under
#   CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0/). The licence attaches to
#   this file, not to the code that reads or produced it.
#
3gpp_lte	3GPP	1368374186	The 3rd Generation Partnership Project (3GPP) is an umbrella term for a number of standards organizations which develop protocols for mobile telecommunications. Its best known work is the development and maintenance of:GSM and related 2G, 2.5G, and 2.75G standards, including GPRS and EDGE UMTS and related 3G standards, including HSPA and HSPA+ LTE and related 4G standards, including LTE Advanced and LTE Advanced Pro 5G NR and related 5G standards, including 5G-Advanced An evolved IP Multimedia Subsystem (IMS) developed in an access independent manner
3rd_generation_partnership_project_%283gpp%29	3GPP	1368374186	The 3rd Generation Partnership Project (3GPP) is an umbrella term for a number of standards organizations which develop protocols for mobile telecommunications. Its best known work is the development and maintenance of:GSM and related 2G, 2.5G, and 2.75G standards, including GPRS and EDGE UMTS and related 3G standards, including HSPA and HSPA+ LTE and related 4G standards, including LTE Advanced and LTE Advanced Pro 5G NR and related 5G standards, including 5G-Advanced An evolved IP Multimedia Subsystem (IMS) developed in an access independent manner
6lowpan	6LoWPAN	1371737486	6LoWPAN was a working group of the Internet Engineering Task Force (IETF).  It was created with the intention of applying Internet Protocol Version 6 (IPv6) even to the smallest devices, enabling low-power devices with limited processing capabilities to participate in the Internet of Things.
8-bit_microcontrollers	8-bit	1362290853	In computer architecture, 8-bit integers or other data units are those that are 8 bits wide. Also, 8-bit central processing unit (CPU) and arithmetic logic unit (ALU) architectures are those that are based on registers or data buses of that size. Memory addresses for 8-bit CPUs are generally larger than 8-bit, usually 16-bit. 8-bit microcomputers are microcomputers that use 8-bit microprocessors.
802.11_networks	IEEE_802.11	1370334465	IEEE 802.11 is part of the IEEE 802 set of local area network (LAN) technical standards, and specifies the set of medium access control (MAC) and physical layer (PHY) protocols for implementing wireless local area network (WLAN) computer communication. The standard and amendments provide the basis for wireless network products using the Wi-Fi brand and are the world's most widely used wireless computer networking standards. IEEE 802.11 is used in most home and office networks to allow laptops, printers, smartphones, and other devices to communicate with each other and access the Internet without connecting wires.
802.11e	IEEE_802.11e-2005	1307917729	IEEE 802.11e-2005 or 802.11e is an approved amendment to the IEEE 802.11 standard that defines a set of quality of service (QoS) enhancements for wireless LAN applications through modifications to the media access control (MAC) layer. The standard is considered of critical importance for delay-sensitive applications, such as voice over wireless LAN and streaming multimedia. The amendment has been incorporated into the published IEEE 802.11-2007 standard.
aac	Advanced_Audio_Coding	1370491283	Advanced Audio Coding (AAC) is an audio coding standard for lossy digital audio compression. It was developed by Dolby, AT&T, Fraunhofer and Sony, originally as part of the MPEG-2 specification but later improved under MPEG-4. AAC was designed to be the successor of the MP3 format and generally achieves higher sound quality than MP3 at the same bit rate. AAC encoded audio files are typically packaged in an MP4 container most commonly using the filename extension .m4a.
abstract_interpretation	Abstract_interpretation	1355882335	In computer science, abstract interpretation is a theory of sound approximation of the semantics of computer programs, based on monotonic functions over ordered sets, especially lattices. It can be viewed as a partial execution of a computer program which gains information about its semantics without performing all the calculations.
academic_libraries	Academic_library	1371057926	An academic library is a library that is attached to a higher education institution, which supports the curriculum and the research of the university faculty and students. According to the National Center for Education Statistics, there are an estimated 3,700 academic libraries in the United States. Class reading materials, intended to supplement lectures by the instructor and housed in academic libraries, have historically been known as "reserves". Before electronic resources became available, the reserves were supplied as actual books or as photocopies of appropriate journal articles. Modern academic libraries provide access to electronic resources.
acceleration_sensor	Accelerometer	1360682135	An accelerometer is a device that measures the proper acceleration of an object. Proper acceleration is the acceleration of the object relative to an observer who is in free fall. Proper acceleration is different from coordinate acceleration, which is acceleration with respect to a given coordinate system, which may or may not be accelerating. For example, an accelerometer at rest on the surface of the Earth will measure an acceleration due to Earth's gravity straight upwards of about g ≈ 9.81 m/s2. By contrast, an accelerometer that is in free fall will measure zero acceleration.
