# arXiv's subject taxonomy as a functional taxonomy of research: ten groups, the archives
# inside them and the categories inside those, each category carrying the description arXiv
# states its subject matter in. Like every functional taxonomy here it is a distribution to
# compare against and not a vocabulary to match — nobody writes cs.CL in code, and nobody
# writes Computation and Language either. What a scope is compared on is the description:
# cs.IR covers indexing, dictionaries, retrieval, content and analysis, and a repository
# about those things reads like that sentence whether or not it ever quotes a word of it.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# broader is the archive a category is stated inside, the group an archive is stated inside,
# and empty for a group; module is the group a concept rolls up to. altLabel is the alias
# arXiv publishes beside a name — cs.CL is also cmp-lg, math.IT is also cs.IT — which is the
# publisher stating synonymy rather than anyone grouping by hand. A group, archive or
# category arXiv does not state as live is not carried, and neither is the group it marks as
# a test.
#
# Source: arXiv's own taxonomy definitions, the module its software classifies by, read from
#   https://raw.githubusercontent.com/arxiv/arxiv-base/a5985f621b07a4031c9e9b4f870a2206a9aa15a7/arxiv/taxonomy/definitions.py.
# Licence: MIT, Copyright (c) 2026 arXiv, Inc.
#   (https://github.com/arxiv/arxiv-base/blob/develop/LICENSE). The identifiers, names and
#   subject descriptions are arXiv's statement of its own classification, read from the
#   software that applies it — the same ground on which this library reads a query engine's
#   function catalogue out of the engine.
# Generated by ArxivTaxonomyExtraction: 174 concepts.
cs.CC	Computational Complexity		cs	category	grp_cs	Covers models of computation, complexity classes, structural complexity, complexity tradeoffs, upper and lower bounds. Roughly includes material in ACM Subject Classes F.1 (computation by abstract devices), F.2.3 (tradeoffs among complexity measures), and F.4.3 (formal languages), although some material in formal languages may be more appropriate for Logic in Computer Science. Some material in F.2.1 and F.2.2, may also be appropriate here, but is more likely to have Data Structures and Algorithms as the primary subject area.	
cs.CE	Computational Engineering, Finance, and Science		cs	category	grp_cs	Covers applications of computer science to the mathematical modeling of complex systems in the fields of science, engineering, and finance. Papers here are interdisciplinary and applications-oriented, focusing on techniques and tools that enable challenging computational simulations to be performed, for which the use of supercomputers or distributed computing platforms is often required. Includes material in ACM Subject Classes J.2, J.3, and J.4 (economics).	
cs.CG	Computational Geometry		cs	category	grp_cs	Roughly includes material in ACM Subject Classes I.3.5 and F.2.2.	
cs.CL	Computation and Language	cmp-lg	cs	category	grp_cs	Covers natural language processing. Roughly includes material in ACM Subject Class I.2.7. Note that work on artificial languages (programming languages, logics, formal systems) that does not explicitly address natural-language issues broadly construed (natural-language processing, computational linguistics, speech, text retrieval, etc.) is not appropriate for this area.	
cs.CR	Cryptography and Security		cs	category	grp_cs	Covers all areas of cryptography and security including authentication, public key cryptosytems, proof-carrying code, etc. Roughly includes material in ACM Subject Classes D.4.6 and E.3.	
cs.CV	Computer Vision and Pattern Recognition		cs	category	grp_cs	Covers image processing, computer vision, pattern recognition, and scene understanding. Roughly includes material in ACM Subject Classes I.2.10, I.4, and I.5.	
cs.CY	Computers and Society		cs	category	grp_cs	Covers impact of computers on society, computer ethics, information technology and public policy, legal aspects of computing, computers and education. Roughly includes material in ACM Subject Classes K.0, K.2, K.3, K.4, K.5, and K.7.	
cs.DB	Databases		cs	category	grp_cs	Covers database management, datamining, and data processing. Roughly includes material in ACM Subject Classes E.2, E.5, H.0, H.2, and J.1.	
cs.DC	Distributed, Parallel, and Cluster Computing		cs	category	grp_cs	Covers fault-tolerance, distributed algorithms, stabilility, parallel computation, and cluster computing. Roughly includes material in ACM Subject Classes C.1.2, C.1.4, C.2.4, D.1.3, D.4.5, D.4.7, E.1.	
cs.DL	Digital Libraries		cs	category	grp_cs	Covers all aspects of the digital library design and document and text creation. Note that there will be some overlap with Information Retrieval (which is a separate subject area). Roughly includes material in ACM Subject Classes H.3.5, H.3.6, H.3.7, I.7.	
cs.DM	Discrete Mathematics		cs	category	grp_cs	Covers combinatorics, graph theory, applications of probability. Roughly includes material in ACM Subject Classes G.2 and G.3.	
cs.DS	Data Structures and Algorithms		cs	category	grp_cs	Covers data structures and analysis of algorithms. Roughly includes material in ACM Subject Classes E.1, E.2, F.2.1, and F.2.2.	
