# Wiktionary abbreviation senses, one row per cited reading: the token, the expansion its
# entry names, the kind of shortening the sense declares (abbreviation, initialism, acronym,
# clipping or symbol), the sense's topic labels (comma-separated, often empty), and — for a
# unit symbol — the quantity the standard says the unit measures, blank for every other
# kind. A token with several cited expansions keeps one row each — this file cites usage,
# the reader votes.
#
# Source: Wiktionary (https://en.wiktionary.org/), read from the wiktextract JSONL published
#   at kaikki.org: the English extract (https://kaikki.org/dictionary/English/) and the
#   Translingual extract (https://kaikki.org/dictionary/Translingual/), which carries the
#   unit symbols; Tatu Ylonen: "Wiktextract: Wiktionary as Machine-Readable Structured
#   Data", LREC 2022.
# Licence: this data file is derived from Wiktionary content and is distributed under
#   CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0/). The licence attaches to
#   this file, not to the code that reads or produced it.
# Generated by WiktionaryAbbreviationExtraction: 45633 senses.
16	1620	abbreviation	hobbies,lifestyle,skiing,snowboarding,sports	
16th	sixteenth	abbreviation		
16º	sextodecimo	abbreviation		
16º	sextodecimo	abbreviation	media,printing,publishing	
17th	seventeenth	abbreviation		
18	1800	abbreviation	hobbies,lifestyle,skiing,snowboarding,sports	
18mo	octodecimo	abbreviation		
18th	eighteenth	abbreviation		
18º	octodecimo	abbreviation		
18º	octodecimo	abbreviation	media,printing,publishing	
19	1980	abbreviation	hobbies,lifestyle,snowboarding,sports	
19th	nineteenth	abbreviation		
1a	first amendment	abbreviation	government,politics	
1aess	number 1a electronic switching system	abbreviation	communications,electrical-engineering,engineering,natural-sciences,physical-sciences,telecommunications,telephony	
1b	first base	abbreviation	ball-games,baseball,games,hobbies,lifestyle,sports	
1b	first baseman	abbreviation	ball-games,baseball,games,hobbies,lifestyle,sports	
1b1t	meaning that the normal rounds in the gun are alternated with tracer rounds	abbreviation	government,military,politics,war	
1b1t	one ball	abbreviation	government,military,politics,war	
1b1t	one tracer	abbreviation	government,military,politics,war	
1bh	one-base hit	abbreviation	ball-games,baseball,games,hobbies,lifestyle,sports	
1cc	one-credit	abbreviation	video-games	
1d	first down	abbreviation	American-football,ball-games,football,games,hobbies,lifestyle,sports	
1d	one penny	abbreviation		
1d	one-dimensional	abbreviation		
1der	wonder	abbreviation		
1derful	wonderful	abbreviation		
1drfl	wonderful	abbreviation		
1ess	number 1 electronic switching system	abbreviation	communications,electrical-engineering,engineering,natural-sciences,physical-sciences,telecommunications,telephony	
1fr	one-party flat rate	abbreviation		
1ftr	one for the road	abbreviation		
1g	analog cell phone network technology	abbreviation		
1g	first generation wireless	abbreviation		
1g1r	one game	abbreviation	video-games	
1g1r	one rom	abbreviation	video-games	
1gbc	one-gigabaud fiber channel	abbreviation	communications,electrical-engineering,engineering,natural-sciences,physical-sciences,telecommunications,telephony	
1gl	first-generation language	abbreviation	computing,engineering,mathematics,natural-sciences,physical-sciences,programming,sciences	
1h4	by william shakespeare	abbreviation	entertainment,lifestyle,theater	
1h4	henry iv	abbreviation	entertainment,lifestyle,theater	
1h4	part 1	abbreviation	entertainment,lifestyle,theater	
1h6	by william shakespeare	abbreviation	entertainment,lifestyle,theater	
1h6	henry vi	abbreviation	entertainment,lifestyle,theater	
1h6	part 1	abbreviation	entertainment,lifestyle,theater	
1l	one l	abbreviation		
1lc	one-life clear	abbreviation	video-games	
1lt	first lieutenant	abbreviation		
1mm	one megabyte modem	abbreviation	computing,engineering,mathematics,natural-sciences,networking,physical-sciences,sciences	
1mms	one megabyte modem system	abbreviation	computing,engineering,mathematics,natural-sciences,networking,physical-sciences,sciences	
1mr	one-party message rate	abbreviation	communications,electrical-engineering,engineering,natural-sciences,physical-sciences,telecommunications	
1nf	first normal form	abbreviation		
