# eXtended WordNet Domains, reduced to one domain per synset and keyed by sense key: for
# each WordNet 3.0 synset, the domain whose propagation vector weighs it highest, carried
# onto every sense key the synset holds. The maximum is the reduction the resource's own
# evaluation uses and the one-domain-per-synset shape its successors publish; a tie breaks
# on the domain's name, so two runs write identical bytes.
#
# Columns: senseKey, domain, weight.
#   senseKey  WordNet's own version-stable sense identifier, from WordNet 3.0's index.sense.
#             It is what lets these labels join the bundled WordNet 3.1 database: the 3.0
#             synset offsets the distribution is keyed by survive in almost no case, and the
#             sense keys survive in almost every one.
#   domain    the leading domain of the synset across all 170 propagation vectors.
#   weight    that domain's propagation weight for the synset. Each domain's vector sums to
#             one over the 117,536 synsets, so weights compare across domains.
#
# Source: https://adimen.ehu.eus/web/files/XWND/xwnd-30g.tgz, accepted only at
#   sha256 bf7e85e57db36771a926649d4cfddad579e87c3f925cc3ab68465a0304555aac;
#   joined through index.sense of https://repo1.maven.org/maven2/net/sf/extjwnl/extjwnl-data-wn30/1.2/extjwnl-data-wn30-1.2.jar,
#   accepted only at sha256 67ce20a24eeb03ccb604327761e4c7958fc761016f6833384493b7479fb3ad70.
#   Gonzalez-Agirre, A., Castillo, M. and Rigau, G.: A proposal for improving WordNet
#   Domains. LREC 2012. https://adimen.ehu.eus/web/XWND
# Licence: Creative Commons Attribution 3.0 Unported (CC BY 3.0). Attribution: eXtended
#   WordNet Domains, IXA group, University of the Basque Country (UPV/EHU). WordNet 3.0
#   index.sense under the WordNet licence, Princeton University.
#
# Generated by XwndDomainsExtraction: 206761 rows.
155%5:00:00:cardinal:00	number	2.959770e-04
155th%5:00:00:ordinal:00	number	1.384090e-04
15_august_1945%1:28:00::	time_period	2.353400e-04
15_may_organization%1:14:00::	politics	1.573420e-04
15_minutes%1:28:00::	play	8.182060e-05
15th%5:00:00:ordinal:00	number	1.100250e-03
16%1:23:00::	number	1.196780e-03
16%5:00:00:cardinal:00	number	8.434220e-04
160%5:00:00:cardinal:00	number	2.959770e-04
160th%5:00:00:ordinal:00	number	1.384090e-04
165%5:00:00:cardinal:00	number	2.959770e-04
165th%5:00:00:ordinal:00	earth	3.419230e-04
16_pf%1:10:00::	psychology	3.304570e-04
16th%5:00:00:ordinal:00	number	9.630910e-04
17%1:23:00::	number	1.768080e-03
17%5:00:00:cardinal:00	number	1.344320e-03
170%5:00:00:cardinal:00	number	2.959770e-04
170th%5:00:00:ordinal:00	number	1.384090e-04
1728%1:23:00::	number	1.196780e-03
175%5:00:00:cardinal:00	number	2.959770e-04
1750s%1:28:00::	time_period	2.749440e-04
175th%5:00:00:ordinal:00	number	1.384090e-04
1760s%1:28:00::	time_period	2.687940e-04
1770s%1:28:00::	time_period	2.687940e-04
1780s%1:28:00::	time_period	2.687940e-04
1790s%1:28:00::	time_period	2.687940e-04
17_november%1:14:00::	politics	1.850500e-04
17th%5:00:00:ordinal:00	number	1.109580e-03
18%1:23:00::	number	1.196780e-03
18%5:00:00:cardinal:00	number	8.434220e-04
18-karat_gold%1:27:00::	chemistry	6.926850e-05
180%5:00:00:cardinal:00	number	2.959770e-04
180th%5:00:00:ordinal:00	oceanography	2.166580e-04
1820s%1:28:00::	time_period	2.687940e-04
1830s%1:28:00::	time_period	2.687940e-04
1840s%1:28:00::	time_period	2.914220e-04
1850s%1:28:00::	time_period	2.808560e-04
1860s%1:28:00::	time_period	2.687940e-04
